Sample,TRT,Block,Irrigation,Inoculation,Resistance,Bact_g,CBBLR_g,Fungi_g,phoA_g,ureC_g,Mean350_2500,Mean560,Mean668,Mean840,Mean1450,Log16S,Logcbblr,Log18S,Logphoa,Logurec,Ratiocbblr,Ratiofungi,Ratiophoa,Ratiourec,SMC92DAS,Chl92DAS,Flav92DAS,Anth92DAS,NBI92DAS,gs92DAS,E92DAS,Fs92DAS,Fm92DAS,Photo92DAS,ETR92DAS,AirT92DAS,LeafT92DAS,CTD92DAS,Plantheightcm,Boll,Leafdrywt ,Stemdrywt,squareBolldrywt,Shootdryweight 
1,112,1,Full,Inoc,Susc,1.15E+10,9.75E+07,6.91E+05,1.06E+03,5.21E+05,32.71988854,20.69752,6.68554,63.00432,18.83848,10.06066306,7.989051887,5.839434022,3.023714464,5.717092539,8.48E-03,6.01E-05,9.22E-08,4.53E-05,0.147,26.44,1.051,0.167,25.16,0.151638,3.48979,166.482574,337.813507,0.507176,168.9776,30.11,30.24,-0.13,44.7,3,3.19,2.89,6.12,12.2
2,211,1,Half,Inoc,Res,2.75E+10,4.30E+08,2.91E+06,3.59E+04,1.06E+06,30.64183674,17.9507,5.45384,60.31674,18.80116,10.43893719,8.633704661,6.463197275,4.555120552,6.025394227,1.56E-02,1.06E-04,1.31E-06,3.85E-05,0.178,28.723,1.304,0.149,22.02,0.535227,7.717008,106.738686,313.373932,0.659389,188.276428,30.12,27.88,2.24,54.6,2,3.13,3.01,8.84,14.98
3,111,1,Full,Inoc,Res,1.64E+10,1.93E+08,7.79E+05,,4.30E+05,28.31148833,16.8822,4.77662,55.73016,16.3739,10.2148982,8.284719905,5.89140334,,5.63375811,1.18E-02,4.75E-05,0.00E+00,2.62E-05,0.198,18.217,1.342,0.193,13.57,0.785962,10.43769,132.711761,286.53717,0.536843,182.979187,30.13,28.22,1.91,60.1,2,3.57,3.8,7.48,14.85
4,212,1,Half,Inoc,Susc,1.31E+10,1.92E+08,6.64E+06,2.94E+03,4.88E+05,32.29867032,20.56448,6.45078,62.21462,19.47916,10.1166288,8.282451801,6.822227875,3.468452451,5.688841477,1.47E-02,5.07E-04,2.24E-07,3.73E-05,0.095,18.92,1.336,0.208,14.17,0.662903,9.178986,133.347275,246.317261,0.458636,168.068359,30.14,28.13,2.01,30.4,1,1.63,1.26,3.43,6.32
5,121,1,Full,Cont,Res,2.99E+10,2.70E+08,1.30E+06,1.21E+03,1.31E+06,29.86684359,19.11574,5.15536,58.15714,17.81684,10.47623366,8.431101174,6.112416602,3.082671204,6.116651959,9.03E-03,4.35E-05,4.05E-08,4.38E-05,0.194,17.645,1.242,0.192,14.21,0.661166,9.842137,124.250648,229.033112,0.457499,173.000275,30.16,28.75,1.41,62.3,3,3.64,3.96,9.6,17.2
6,222,1,Half,Cont,Susc,2.61E+10,7.70E+08,2.37E+06,7.11E+03,5.96E+05,33.4458078,22.66976,7.0164,63.471,20.0687,10.41694456,8.886319886,6.37471188,3.851991264,5.77557158,2.95E-02,9.08E-05,2.72E-07,2.28E-05,0.148,22.355,1.247,0.175,17.93,0.374435,6.786916,112.173203,269.150024,0.583232,174.690338,30.18,29.44,0.74,37.4,0,3.75,2.98,0.32,7.05
7,122,1,Full,Cont,Susc,6.65E+09,3.59E+07,6.35E+05,5.88E+03,2.58E+05,31.66351714,21.45992,6.0823,60.66148,17.95788,9.822585291,7.555380005,5.803112227,3.769118046,5.412031354,5.40E-03,9.55E-05,8.84E-07,3.88E-05,0.187,17.228,1.383,0.219,12.46,0.602706,8.047818,118.958832,338.957916,0.649045,124.141861,30.22,27.53,2.69,54.3,2,4.12,3.36,7.84,15.32
8,221,1,Half,Cont,Res,1.01E+10,9.95E+07,1.08E+06,2.26E+04,3.34E+05,30.47931518,16.36688,6.32804,59.90554,15.73592,10.00474043,7.997920727,6.031522711,4.354459173,5.524201026,9.85E-03,1.07E-04,2.24E-06,3.31E-05,0.147,29.306,1.167,0.147,25.12,0.530406,6.995306,112.82444,359.099518,0.685813,166.975677,30.22,27.16,3.06,34.6,0,1.54,1.89,0.67,4.1
9,212,2,Half,Inoc,Susc,9.69E+09,9.16E+07,9.59E+05,1.63E+03,3.84E+05,31.26128977,21.98226,5.87368,59.59636,18.39942,9.98630133,7.961754516,5.981667628,3.21246308,5.584456593,9.45E-03,9.90E-05,1.68E-07,3.96E-05,0.168,17.4,1.195,0.194,14.56,0.059553,1.512445,117.311951,195.38176,0.399576,154.515289,30.22,30.84,-0.62,35.2,0,3.29,2.62,0,5.91
10,111,2,Full,Inoc,Res,1.24E+10,8.36E+07,1.45E+06,3.69E+03,4.73E+05,29.7260788,17.47164,5.3604,58.41072,17.9856,10.09459746,7.922091513,6.161405684,3.567431445,5.674743825,6.74E-03,1.17E-04,2.98E-07,3.81E-05,0.189,16.669,1.186,0.197,14.06,0.63038,11.777622,192.428116,243.745926,0.210538,139.754501,30.95,31,-0.05,55.1,3,3.87,4.69,6.78,15.34
11,211,2,Half,Inoc,Res,1.58E+10,1.73E+08,1.94E+06,6.01E+04,6.48E+05,29.88253189,17.8819,5.12238,58.6765,17.13078,10.19793034,8.238275688,6.287090892,4.778537885,5.811549584,1.09E-02,1.23E-04,3.80E-06,4.10E-05,0.155,22.418,1.085,0.184,20.66,0.275483,4.585537,112.547997,340.997101,0.669944,137.964584,30.25,28.03,2.22,44.6,1,2.65,2.65,4.49,9.79
12,112,2,Full,Inoc,Susc,2.16E+10,2.53E+08,4.00E+06,6.32E+03,1.28E+06,31.56910427,21.25684,6.03788,60.5794,18.79134,10.33405817,8.403167615,6.601670578,3.800686346,6.107043105,1.17E-02,1.85E-04,2.93E-07,5.93E-05,0.268,17.933,1.162,0.191,15.43,0.516844,7.551871,115.90004,292.678345,0.604002,105.571205,30.24,27.91,2.33,53.2,3,3.21,2.1,7.43,12.74
13,222,2,Half,Cont,Susc,1.45E+10,2.57E+08,3.20E+06,9.09E+03,4.16E+05,34.77389103,28.66164,8.34402,62.74656,17.88596,10.16282814,8.409909955,6.504699548,3.958446974,5.619084628,1.77E-02,2.21E-04,6.27E-07,2.87E-05,0.146,18.844,1.355,0.204,13.9,0.340552,7.001116,188.772446,285.095215,0.337862,156.481125,30.97,30.09,0.88,34,1,3.29,2.61,2.26,8.16
14,121,2,Full,Cont,Res,1.06E+10,1.10E+08,6.12E+05,1.28E+03,3.30E+05,29.68226802,16.47146,5.14498,58.92474,17.10402,10.02507731,8.039683589,5.786669755,3.106056698,5.518847673,1.04E-02,5.77E-05,1.21E-07,3.11E-05,0.175,17.243,1.558,0.206,11.07,0.756148,11.337488,200.751541,318.595276,0.369885,166.848755,31.11,29.26,1.85,64.3,3,4.46,5.69,7.11,17.26
