target,model,corr,rmse,penalty,mixture,mtry,trees,min_n
bact,lasso,1,0.344032,1E-10,,,,
bact,lasso,0.95,0.4630785,0.02586416,,,,
bact,elastic net,1,0.3554148,0.001389495,0.4285714,,,
bact,elastic net,0.95,0.4637331,1,0,,,
bact,random forest,1,0.4873841,,,717,2000,2
bact,random forest,0.95,0.4523842,,,1,1333,40
cbblr,lasso,1,0.3237782,0.002002568,,,,
cbblr,lasso,0.95,0.3354374,1E-10,,,,
cbblr,elastic net,1,0.3270951,0.001389495,1,,,
cbblr,elastic net,0.95,0.3352033,0.03727594,0,,,
cbblr,random forest,1,0.3346655,,,717,1333,2
cbblr,random forest,0.95,0.3428555,,,1,667,14
fungi,lasso,1,0.3773962,0.00288614,,,,
fungi,lasso,0.95,0.3782368,0.00032206,,,,
fungi,elastic net,1,0.3774151,0.03727594,0.1428571,,,
fungi,elastic net,0.95,0.3767501,0.03727594,0,,,
fungi,random forest,1,0.3860671,,,1,667,14
fungi,random forest,0.95,0.3939352,,,2151,667,40
phoa,lasso,1,0.3875834,0.001389495,,,,
phoa,lasso,0.95,0.4398424,0.05372281,,,,
phoa,elastic net,1,0.3747849,1E-10,0.1428571,,,
phoa,elastic net,0.95,0.4398424,1,0.1428571,,,
phoa,random forest,1,0.4332455,,,1,2000,40
phoa,random forest,0.95,0.4285177,,,1,1333,40
urec,lasso,1,0.2017502,0.002002568,,,,
urec,lasso,0.95,0.2042772,0.008639884,,,,
urec,elastic net,1,0.2016347,1E-10,0,,,
urec,elastic net,0.95,0.2040324,0.03727594,0,,,
urec,random forest,1,0.1958843,,,1,667,27
urec,random forest,0.95,0.200383,,,1,667,27
